Query;Results
00055;[(1, '862', 0.2228448769951502), (2, '951', 0.16989789037373937), (3, '373', 0.15490426307495558), (4, '936', 0.14493794211749939), (5, '1070', 0.13036429947688105), (6, '1013', 0.12537850033083686), (7, '1131', 0.12026741995674797), (8, '890', 0.1161519520149114), (9, '1136', 0.11125588687698133), (10, '609', 0.10752748747437023)]
00056;[(1, '1102', 0.2607684105675066), (2, '903', 0.23645438043817654), (3, '609', 0.21124323625098784), (4, '517', 0.1939457355582824), (5, '767', 0.17884466378848132), (6, '1170', 0.17654098808073668), (7, '432', 0.16512054149623376), (8, '987', 0.161988625230713), (9, '185', 0.15846104372619405), (10, '111', 0.15157021481242128), (11, '89', 0.14727190972593737), (12, '1080', 0.14658645237776718), (13, '761', 0.13599198786372005), (14, '1051', 0.13002452292138558), (15, '1143', 0.12990352987630158), (16, '605', 0.1273264347377514), (17, '581', 0.12722204542141552), (18, '1115', 0.12388440495886127), (19, '188', 0.12226863623553982), (20, '670', 0.12207525559458157), (21, '427', 0.11617669806697727), (22, '1039', 0.11339258885156572), (23, '450', 0.11211912920827245), (24, '273', 0.11091076267803764), (25, '62', 0.10757951412274076), (26, '922', 0.10408413340743634), (27, '1071', 0.10273093857697375)]
00057;[(1, '81', 0.3900078053657325), (2, '80', 0.329489810148148), (3, '987', 0.31904085588467873), (4, '917', 0.29398186506383533), (5, '178', 0.2706307671104198), (6, '778', 0.26935950203319875), (7, '912', 0.23763352647340988), (8, '469', 0.22441348480403653), (9, '890', 0.19614222306356408), (10, '989', 0.19559535807164458), (11, '588', 0.18940103759368032), (12, '187', 0.18866045044192586), (13, '1173', 0.18752798554193098), (14, '447', 0.18687807108145624), (15, '282', 0.1754734839683597), (16, '905', 0.17312503174889968), (17, '188', 0.17137040866006445), (18, '461', 0.17079557221985678), (19, '1071', 0.16454279492566792), (20, '1091', 0.16371499689724725), (21, '590', 0.16068322197513732), (22, '460', 0.15562173929180248), (23, '800', 0.15040659278510435), (24, '790', 0.14697761164100018), (25, '1', 0.14651127860582658), (26, '159', 0.145269359764914), (27, '1065', 0.1429020646363469), (28, '1025', 0.1418311925851813), (29, '200', 0.13289361240074812), (30, '589', 0.12936632466549075), (31, '62', 0.12676494172634728), (32, '6', 0.12351234162007065), (33, '257', 0.12298506413272786), (34, '753', 0.12159465414267714), (35, '884', 0.12144280884772175), (36, '874', 0.1166487409977965), (37, '986', 0.11632025433166575), (38, '479', 0.1150900885533532), (39, '577', 0.11063530314804751), (40, '793', 0.10966618692329472), (41, '427', 0.1092944616116242), (42, '271', 0.10843966210247889), (43, '197', 0.10726132190835722), (44, '860', 0.1061377323278069), (45, '1171', 0.10557285078544436), (46, '769', 0.10451296481769086), (47, '802', 0.10447937832781194), (48, '7', 0.10378834747602234), (49, '370', 0.10156447799405119), (50, '8', 0.10118697333175533), (51, '458', 0.10013254996996171)]
00058;[(1, '761', 0.20182035779972593), (2, '281', 0.19498374852104938), (3, '904', 0.19320315171200642), (4, '800', 0.1886155274591694), (5, '16', 0.1819219525554545), (6, '427', 0.17241326595920162), (7, '590', 0.1679495983453349), (8, '903', 0.1660943978853437), (9, '62', 0.15965452357332935), (10, '1170', 0.1590069779304236), (11, '505', 0.15600666512617326), (12, '905', 0.15470536157563528), (13, '111', 0.15292061653537048), (14, '160', 0.15187419199885363), (15, '670', 0.14934768063447662), (16, '187', 0.14085862910888952), (17, '521', 0.13932187713001928), (18, '432', 0.13825682579309173), (19, '452', 0.13568861740535731), (20, '400', 0.13306051281777803), (21, '588', 0.13159146320464446), (22, '1025', 0.13065596090289455), (23, '487', 0.12715427109831315), (24, '874', 0.1266646035889526), (25, '790', 0.12543125342961917), (26, '188', 0.12273648919538796), (27, '370', 0.12046717913011494), (28, '1007', 0.11756927025190547), (29, '769', 0.11679032549518244), (30, '57', 0.11630958619579745), (31, '1157', 0.11172112818845964), (32, '1134', 0.1108181022494101), (33, '987', 0.11067217027121447), (34, '1091', 0.11046776334838927), (35, '1102', 0.1102237411782521), (36, '988', 0.10680549088913151), (37, '964', 0.10285794353383199), (38, '1151', 0.10216857622291815), (39, '1171', 0.10174678555445935), (40, '228', 0.10084917737655673)]
00059;[(1, '281', 0.22331833550624897), (2, '16', 0.1689798574694151), (3, '521', 0.15956780981120197), (4, '228', 0.15389792130665852), (5, '670', 0.13676085924413317), (6, '505', 0.12791273042470375), (7, '1134', 0.1269219323456998), (8, '187', 0.12412578469392518), (9, '118', 0.1171883501903168), (10, '364', 0.10516104502077772), (11, '504', 0.10278640326694546), (12, '594', 0.10074842365676778)]
00060;[(1, '1095', 0.15022983858808608), (2, '1004', 0.14832103389834833), (3, '1102', 0.14420610748032672), (4, '1151', 0.1379306258722316), (5, '1234', 0.13401401490299536), (6, '570', 0.12479071424037314), (7, '27', 0.12258290520357701), (8, '392', 0.11578144856253175), (9, '348', 0.11278049739018987), (10, '444', 0.11127587188432088), (11, '189', 0.10260291208475827), (12, '316', 0.10034446535969313)]
00061;[(1, '502', 0.48012842333934), (2, '196', 0.43919201674057323), (3, '969', 0.3524192001772665), (4, '383', 0.2917700632935355), (5, '605', 0.28469045363094764), (6, '754', 0.2734191751096942), (7, '761', 0.26687808188144274), (8, '501', 0.26600609396872943), (9, '511', 0.26007987501459334), (10, '570', 0.25859213984303875), (11, '437', 0.2059523155935774), (12, '125', 0.2006649054283097), (13, '741', 0.20032282647628774), (14, '140', 0.19479926040947396), (15, '490', 0.1906873083526855), (16, '160', 0.17806898514219774), (17, '680', 0.17120735384055663), (18, '1170', 0.16738374428896177), (19, '370', 0.16193064169761184), (20, '590', 0.15575701507225376), (21, '912', 0.15440118790614424), (22, '46', 0.14256207110423877), (23, '1', 0.14201955343908826), (24, '1181', 0.13490469624004614), (25, '685', 0.13420040735278174), (26, '1079', 0.12665221943336302), (27, '686', 0.12469172822383551), (28, '320', 0.11687017647608701), (29, '555', 0.11318632764653813), (30, '980', 0.11254090917399279), (31, '733', 0.11039452601370967), (32, '1200', 0.10865105739608766), (33, '195', 0.10617757750688045), (34, '1111', 0.10463371309683615), (35, '271', 0.10295907620359071), (36, '432', 0.10096446545707125)]
00062;[(1, '1134', 0.20094241100931615), (2, '690', 0.18669067830736938), (3, '879', 0.18172151300376316), (4, '10', 0.17695704360117995), (5, '944', 0.17262121323352148), (6, '682', 0.16171998692271722), (7, '1186', 0.15626478732195864), (8, '920', 0.14730765853069513), (9, '1028', 0.13792522521492678), (10, '605', 0.1355215773690291), (11, '491', 0.13374531573082116), (12, '489', 0.1324544853377351), (13, '1158', 0.13102577929735534), (14, '479', 0.12981720855370324), (15, '208', 0.12841088260098096), (16, '496', 0.1268371322471856), (17, '301', 0.12289009899461392), (18, '919', 0.11323668816059977), (19, '719', 0.11261369182206915), (20, '905', 0.11018969499854277), (21, '647', 0.10790471343974815), (22, '593', 0.105491782635465), (23, '60', 0.10484991084298072), (24, '776', 0.10373467722218559), (25, '1004', 0.10279070242647838), (26, '1122', 0.10134681532175763)]
00063;[(1, '988', 0.17652353848720964), (2, '1171', 0.16816272708691), (3, '240', 0.15253788112710637), (4, '963', 0.14952152526172238), (5, '821', 0.14434785898594818), (6, '463', 0.1328885842755069), (7, '571', 0.13177977786297573), (8, '605', 0.12281216755272671), (9, '582', 0.10826576323495647), (10, '685', 0.10691130322335228), (11, '499', 0.1037505539766719)]
00064;[(1, '1038', 0.24617305625123326), (2, '1174', 0.17691685428049658), (3, '1067', 0.14879936557874884), (4, '64', 0.14863279077123429), (5, '22', 0.13937602266276394), (6, '1151', 0.1309090793932602), (7, '372', 0.1307017097365769), (8, '791', 0.12492278293731197), (9, '62', 0.12394168331409665), (10, '1222', 0.1158289181630091), (11, '472', 0.11499846166315691), (12, '516', 0.11441588459979365), (13, '461', 0.11219507075050361), (14, '556', 0.11155908819337149), (15, '1047', 0.11128822088575757), (16, '1037', 0.10814263357824958), (17, '526', 0.10684070507111021), (18, '814', 0.106237032835613), (19, '962', 0.10481272043385255), (20, '821', 0.10425812941741022), (21, '992', 0.10413341242043447), (22, '180', 0.10408899506022398), (23, '827', 0.10319588933007626), (24, '1213', 0.10245527133024086), (25, '1112', 0.1009469708208282)]
00065;[(1, '1151', 0.3629817913311099), (2, '64', 0.34572774059930894), (3, '490', 0.24589480349168588), (4, '1109', 0.23589431575357261), (5, '1038', 0.21067618231229143), (6, '566', 0.19688804863691506), (7, '546', 0.19600676918894844), (8, '372', 0.19205993938889016), (9, '1110', 0.19098767797900643), (10, '473', 0.18167468009227916), (11, '446', 0.17870888030212648), (12, '814', 0.17485569271999182), (13, '1047', 0.16354452930576047), (14, '364', 0.15766770344153114), (15, '1004', 0.15215877955733428), (16, '504', 0.15150294863190092), (17, '791', 0.14949870510154317), (18, '189', 0.14681905303301823), (19, '611', 0.14502585721586653), (20, '1214', 0.1434588027952778), (21, '1071', 0.14287772151739245), (22, '842', 0.14250977835083065), (23, '948', 0.14143695180669846), (24, '27', 0.13543920436792584), (25, '323', 0.1347698487499176), (26, '1063', 0.1342840902564055), (27, '155', 0.13200359235827738), (28, '594', 0.12998010029934184), (29, '140', 0.12958066439586585), (30, '1234', 0.12862463026116955), (31, '543', 0.12860313421172254), (32, '516', 0.126510026913823), (33, '349', 0.12599834322298775), (34, '50', 0.12540496548424085), (35, '388', 0.1250701673476975), (36, '480', 0.1239050048845657), (37, '210', 0.12361195762945078), (38, '906', 0.12256938014908411), (39, '1237', 0.12154339989015063), (40, '57', 0.12107581257961171), (41, '1212', 0.12077356390988345), (42, '1003', 0.12065661483639652), (43, '501', 0.11934613780121522), (44, '1073', 0.11580951293366014), (45, '117', 0.11147321253402856), (46, '204', 0.11120794175079556), (47, '1223', 0.11060180559362244), (48, '605', 0.10934348428620844), (49, '684', 0.10888606988683623), (50, '699', 0.10724795896478066), (51, '821', 0.10713004136343533), (52, '96', 0.1066584308561653), (53, '653', 0.10415096378068874), (54, '505', 0.10401581173729386), (55, '370', 0.10288040967987955), (56, '1156', 0.1028347842916089), (57, '190', 0.1027037358191123), (58, '437', 0.10234174608633062), (59, '629', 0.1022654546931307), (60, '987', 0.10183978767188032)]
00066;[(1, '799', 0.25258001311548034), (2, '690', 0.21509024000043933), (3, '682', 0.1946283813254716), (4, '944', 0.15774482652341987), (5, '1192', 0.15446189741801059), (6, '763', 0.14828294130748917), (7, '10', 0.14703657597197645), (8, '496', 0.1445501782023798), (9, '879', 0.13731825166908188), (10, '854', 0.12832383705680728), (11, '32', 0.12729428982145005), (12, '975', 0.11663213365589586), (13, '768', 0.11636298609315512), (14, '1028', 0.11460438331843444), (15, '491', 0.11113122641036105), (16, '489', 0.11005865378314372), (17, '1158', 0.10887151796773434), (18, '479', 0.10786729626313231), (19, '348', 0.1076794945060661), (20, '1198', 0.10665271333519898), (21, '920', 0.10448188768921893)]
00067;[(1, '396', 0.20199006670589847), (2, '148', 0.18126861185883109), (3, '804', 0.17980846058108363), (4, '806', 0.16982613277263053), (5, '160', 0.15089276919342356), (6, '354', 0.14746642039708907), (7, '808', 0.14734877624487208), (8, '778', 0.145918207940893), (9, '782', 0.1390030815282771), (10, '761', 0.13888116210749865), (11, '473', 0.13613115643089255), (12, '154', 0.13514387477695125), (13, '914', 0.1318507864222722), (14, '1219', 0.12850116227624342), (15, '842', 0.12445977694133963), (16, '770', 0.12261424164153331), (17, '1192', 0.12230861640624159), (18, '1097', 0.1192997859799629), (19, '1234', 0.11806552513170374), (20, '910', 0.11555892969225395), (21, '1216', 0.11396957886488637), (22, '879', 0.11233451511146651), (23, '692', 0.11038582881388394), (24, '727', 0.10762584595491957), (25, '731', 0.10691943854365193)]
00068;[(1, '546', 0.31042304448184627), (2, '349', 0.24491919294751782), (3, '1149', 0.23844292292095606), (4, '21', 0.19519943366905587), (5, '543', 0.1905002271894392), (6, '1046', 0.1386920579849109), (7, '628', 0.11934210365893018), (8, '206', 0.11930334636032429), (9, '326', 0.10862741543543063)]
00069;[(1, '703', 0.6292886445826755), (2, '193', 0.3463706877707441), (3, '907', 0.2066782783368811), (4, '363', 0.19224714925610442), (5, '17', 0.16138031708707956), (6, '327', 0.14134040136981837), (7, '438', 0.1362938751876556), (8, '1197', 0.12007170158899645), (9, '800', 0.11829935866901203), (10, '822', 0.1153746387224787), (11, '459', 0.11321140511862349), (12, '540', 0.10308888109634731), (13, '1168', 0.10287069908761413)]
00070;[(1, '1009', 0.3067178931609175), (2, '804', 0.2557961186381684), (3, '1000', 0.1598098970139987), (4, '698', 0.15790063473544608), (5, '778', 0.14365541965277323), (6, '513', 0.131684189280393), (7, '438', 0.12160620097050054), (8, '692', 0.12077724340881281), (9, '1093', 0.12046841289806791), (10, '842', 0.11568428532270897), (11, '882', 0.11213363058001481), (12, '340', 0.11069054312684005), (13, '1234', 0.10977960285268348), (14, '89', 0.10756983887407133), (15, '1104', 0.10754689072683564), (16, '204', 0.10394535468162704), (17, '822', 0.10294132061376292), (18, '200', 0.101985848333685)]
00071;[(1, '547', 0.7010568462815595), (2, '56', 0.3521189917481149), (3, '910', 0.18909661210429377), (4, '1169', 0.15426779646909528), (5, '266', 0.1466598577491582), (6, '778', 0.13470379362909318), (7, '148', 0.12788322616839204), (8, '796', 0.1278513878402216), (9, '60', 0.11583049381413038), (10, '692', 0.11367977197333004), (11, '380', 0.11206271322499228), (12, '297', 0.11132577316073636), (13, '731', 0.10897547604678012), (14, '1002', 0.10695297766958177), (15, '1005', 0.10097329824196434)]
00072;[(1, '771', 0.7343191698634718), (2, '683', 0.5971575948132413), (3, '732', 0.4512737950401941), (4, '685', 0.3261559174725094), (5, '682', 0.32027096851611414), (6, '1125', 0.2896917548686573), (7, '250', 0.27037876355066526), (8, '733', 0.2515989709306612), (9, '982', 0.2190744038021183), (10, '29', 0.20807338441356696), (11, '15', 0.20345291391475542), (12, '23', 0.1937585502686443), (13, '461', 0.18407048010124846), (14, '435', 0.17155658206873522), (15, '398', 0.1614668318691983), (16, '196', 0.14133880103676044), (17, '1226', 0.13663780908034837), (18, '58', 0.13198142413707817), (19, '322', 0.13109933778306596), (20, '333', 0.11598273962892737), (21, '41', 0.10474940703081652)]
00073;[(1, '224', 0.5416763864550729), (2, '630', 0.5360885742119827), (3, '227', 0.5004046211692406), (4, '536', 0.4725059658476023), (5, '50', 0.4017577059589749), (6, '1197', 0.3398695437196964), (7, '604', 0.33245143294086404), (8, '1164', 0.24508259636698487), (9, '546', 0.18861023754989922), (10, '1169', 0.18077630329480748), (11, '438', 0.17423550094982376), (12, '1048', 0.17271411285166022), (13, '820', 0.1661698055704432), (14, '1099', 0.15975775231612635), (15, '496', 0.15295094290762887), (16, '369', 0.14340146527347805), (17, '843', 0.13951733752934892), (18, '341', 0.12872130250242678), (19, '629', 0.1165519531054679), (20, '806', 0.11616485133247531), (21, '980', 0.11585892322908714), (22, '323', 0.10793256888816552), (23, '844', 0.1006318373578102)]
00074;[(1, '914', 0.5309212134776959), (2, '885', 0.3381624464900469), (3, '910', 0.3001534224096626), (4, '155', 0.2836671627353938), (5, '93', 0.1864079427279518), (6, '192', 0.18386352113199309), (7, '886', 0.18206295543077458), (8, '590', 0.158261067199198), (9, '1045', 0.15811940452318804), (10, '160', 0.15169203739077428), (11, '354', 0.14824753947012734), (12, '842', 0.14248627260057553), (13, '782', 0.13973937090114216), (14, '761', 0.13961680568191898), (15, '154', 0.1358597222079007), (16, '1170', 0.12024253329351213), (17, '980', 0.11774489481566774), (18, '148', 0.11524615063070795), (19, '1012', 0.11057306761938288)]
00075;[(1, '241', 0.27687561768952756), (2, '1004', 0.27671013007087575), (3, '948', 0.23433236908704366), (4, '446', 0.22166916061063438), (5, '316', 0.1739766255842362), (6, '199', 0.17011790226793663), (7, '17', 0.16479533875311791), (8, '519', 0.15861209301850004), (9, '1226', 0.1563530499588459), (10, '1234', 0.15193942899279556), (11, '100', 0.14919745856775077), (12, '1151', 0.1371566910384958), (13, '333', 0.1300573549500285), (14, '422', 0.12565339342972573), (15, '787', 0.1122338601211467), (16, '751', 0.10114150999005389), (17, '842', 0.10030237081105671)]
00076;[(1, '1188', 0.5095166222115625), (2, '1007', 0.2754361532395831), (3, '358', 0.26234736241470724), (4, '606', 0.24201626005372257), (5, '1039', 0.2242965584766889), (6, '1073', 0.21535626090868734), (7, '819', 0.18602430610122334), (8, '341', 0.1541440849064923), (9, '450', 0.1336491282763449), (10, '1123', 0.12478299949380489), (11, '1048', 0.12409535185733789), (12, '1110', 0.11884295303054039), (13, '1040', 0.11422907830020945)]
00077;[(1, '754', 0.3466919710466639), (2, '502', 0.26597393728766033), (3, '748', 0.209849256119684), (4, '196', 0.1964682322425359), (5, '484', 0.18592792796638016), (6, '969', 0.18140368817715238), (7, '498', 0.1767799056162018), (8, '501', 0.16946674223826655), (9, '481', 0.15378347358129169), (10, '680', 0.14795280903089647), (11, '151', 0.1440517360261617), (12, '289', 0.12658702491193727), (13, '925', 0.12226075346593454), (14, '592', 0.12216540301429049), (15, '437', 0.1208974668093832), (16, '1181', 0.11658102477749124), (17, '686', 0.10775525139425049), (18, '745', 0.1050760609040098), (19, '320', 0.10099607589097384)]
00078;[(1, '200', 0.16818403361214024), (2, '1087', 0.16003895011642572), (3, '452', 0.15357662659280638), (4, '1179', 0.1511697348889692), (5, '43', 0.1495666746216045), (6, '165', 0.14371056768576007), (7, '1093', 0.12920960404657647), (8, '434', 0.12843058606764002), (9, '586', 0.12208144420908662), (10, '153', 0.12107822895407222), (11, '503', 0.11353272823681479), (12, '1182', 0.11312908631585102), (13, '945', 0.11129600403885735), (14, '510', 0.10075958344943088)]
00079;[(1, '758', 0.21973586577247012), (2, '1179', 0.18410724719226645), (3, '452', 0.18132357825143758), (4, '945', 0.17663073406973598), (5, '1066', 0.1673858553430659), (6, '815', 0.16072739360315189), (7, '200', 0.15978570216069288), (8, '544', 0.1566648836095644), (9, '791', 0.15569163620708595), (10, '396', 0.14942907986495044), (11, '186', 0.1493746870691866), (12, '326', 0.13648358613051512), (13, '1101', 0.13603854365895146), (14, '616', 0.12850176268462624), (15, '238', 0.12593021275059754), (16, '282', 0.11173720320306697), (17, '127', 0.11067417726494176), (18, '460', 0.10963273383053931), (19, '179', 0.10002758719779477)]
00080;[(1, '1111', 0.21403200085052082), (2, '1227', 0.16250881990701202), (3, '945', 0.16176172111366646), (4, '753', 0.15292941294445184), (5, '541', 0.13328802208418922), (6, '1078', 0.1256449612418362), (7, '1181', 0.10638896271919723)]
00081;[(1, '546', 0.4263342723787888), (2, '592', 0.2936405956087898), (3, '321', 0.2731344753907237), (4, '542', 0.2463295208132485), (5, '326', 0.23458180899240375), (6, '945', 0.23428288406090073), (7, '21', 0.15539859929220529), (8, '458', 0.12957062492442614), (9, '193', 0.12244300256424041), (10, '1003', 0.11504416092875058), (11, '823', 0.10327488006695279)]
00082;[(1, '93', 0.5329919234896852), (2, '90', 0.42688719321412644), (3, '253', 0.28120257791456693), (4, '543', 0.2781032150482654), (5, '1151', 0.2433342822294343), (6, '546', 0.21044359361979875), (7, '321', 0.1847910264112773), (8, '25', 0.1788183864612731), (9, '1234', 0.17419245303968478), (10, '159', 0.1673431034593698), (11, '326', 0.14127508014786108), (12, '359', 0.13700667196815322), (13, '327', 0.12957022448614988), (14, '438', 0.1249439497341263), (15, '745', 0.12377981902791245), (16, '1087', 0.11067615853873877)]
00083;[(1, '18', 0.4574997999870798), (2, '1203', 0.3129928526195904), (3, '829', 0.2326484089460148), (4, '669', 0.17654995488075784), (5, '629', 0.17122886871219142), (6, '192', 0.1526723397003296), (7, '166', 0.14091946202849076), (8, '1063', 0.12064059858108234), (9, '609', 0.11431935702003698), (10, '224', 0.10265029062686334), (11, '463', 0.10207001346007726)]
00084;[(1, '555', 0.3632219438779797), (2, '718', 0.2947314624732051), (3, '8', 0.28380884762908143), (4, '922', 0.27152394302041005), (5, '160', 0.2447256605635305), (6, '778', 0.23383150163768998), (7, '912', 0.22549722729775828), (8, '668', 0.2215201361449002), (9, '469', 0.21295235290463227), (10, '384', 0.2007990595741475), (11, '784', 0.19096498590856031), (12, '588', 0.18221446408790215), (13, '550', 0.17568397518655227), (14, '986', 0.17273034730058634), (15, '1112', 0.16929937484922683), (16, '282', 0.1665117910185553), (17, '905', 0.16428327776207777), (18, '457', 0.1578644948657675), (19, '479', 0.15743310353708045), (20, '1091', 0.1553538274470763), (21, '590', 0.15247688979912552), (22, '460', 0.14767390459730745), (23, '800', 0.1427251034131294), (24, '790', 0.13947124545829107), (25, '1', 0.1390287287478354), (26, '159', 0.13785023655731543), (27, '1065', 0.13560384272724657), (28, '890', 0.1354630412225269), (29, '81', 0.13150340111150785), (30, '447', 0.12337636677403066), (31, '178', 0.12267843267400169), (32, '62', 0.1202908667900098), (33, '1071', 0.11790369909037757), (34, '6', 0.11720438182991794), (35, '273', 0.1167388620041021), (36, '753', 0.11538463351665011), (37, '884', 0.11524054318773569), (38, '987', 0.11479196887640211), (39, '80', 0.11395789818148741), (40, '1025', 0.11286597665795), (41, '989', 0.1120801309839439), (42, '1158', 0.10520213103898807), (43, '427', 0.10371263019227327), (44, '589', 0.10067297781528416), (45, '1171', 0.1001810875903552)]
00085;[(1, '160', 0.3036170659254787), (2, '761', 0.27973278921555655), (3, '111', 0.23988959614871325), (4, '432', 0.23840280004322245), (5, '1065', 0.23749132338058473), (6, '487', 0.23150417536161608), (7, '541', 0.22837417207805702), (8, '62', 0.22128890106500887), (9, '588', 0.2141647154089128), (10, '202', 0.21392255032992666), (11, '427', 0.19017768453283446), (12, '590', 0.18821380679827254), (13, '499', 0.18332342642186644), (14, '609', 0.18040510680500021), (15, '110', 0.17900208517961266), (16, '1170', 0.1769804090839173), (17, '790', 0.17385379135780304), (18, '517', 0.17349363491188136), (19, '1091', 0.15311366948677027), (20, '903', 0.1521421535487701), (21, '618', 0.1449776685769605), (22, '800', 0.1406670480578126), (23, '641', 0.13688406667081895), (24, '549', 0.13579434725415254), (25, '1118', 0.125646426832779), (26, '452', 0.12292796593752195), (27, '874', 0.11913607444271421), (28, '769', 0.11739499712055086), (29, '989', 0.11604458930888574), (30, '812', 0.1158080255428523), (31, '1008', 0.11466837327648484), (32, '651', 0.11332317172357212), (33, '188', 0.10846890905005596), (34, '200', 0.10826853023377885), (35, '516', 0.10588800902436278), (36, '933', 0.10583574044653299), (37, '1102', 0.10367240304150777), (38, '550', 0.1028264050069732), (39, '459', 0.1009628095854932), (40, '945', 0.10010598336318502)]
00086;[(1, '8', 0.3990477701622935), (2, '922', 0.3505875626031185), (3, '718', 0.34310897101335663), (4, '668', 0.3291349787938666), (5, '555', 0.30977921053782803), (6, '160', 0.29095278795250573), (7, '986', 0.25353369607819326), (8, '62', 0.23907143626710842), (9, '905', 0.23547388534737915), (10, '903', 0.20622403830337888), (11, '282', 0.2059796199012377), (12, '778', 0.2033276379471064), (13, '923', 0.2002013374340722), (14, '1112', 0.19148251326283627), (15, '1077', 0.17849379104903754), (16, '912', 0.17338737873975885), (17, '550', 0.16973927548127238), (18, '887', 0.16515211089613635), (19, '469', 0.1637414823635187), (20, '588', 0.16279814534503406), (21, '1091', 0.15992412578751378), (22, '384', 0.154396677113006), (23, '110', 0.15214200402027528), (24, '784', 0.1468351461991099), (25, '179', 0.14481995809910495), (26, '271', 0.14077906468054038), (27, '81', 0.14062462891005784), (28, '135', 0.1387032696917251), (29, '61', 0.13743966405742558), (30, '1065', 0.1339491747601345), (31, '589', 0.12688378954965163), (32, '457', 0.12384181782674261), (33, '460', 0.11961593344126656), (34, '6', 0.11791226637372851), (35, '590', 0.11724121204271795), (36, '983', 0.11528142267390462), (37, '989', 0.11267018852221897), (38, '800', 0.11265236719408861), (39, '200', 0.11183920327748192), (40, '745', 0.11050503831871283), (41, '790', 0.1101176767050408), (42, '346', 0.10777392361312374), (43, '1171', 0.10730612753231447), (44, '1', 0.1069007682975966), (45, '159', 0.10599461226974569), (46, '874', 0.10473486629903597), (47, '890', 0.10415907066864112), (48, '505', 0.10351895927747795)]
00087;[(1, '860', 0.12685958292888588), (2, '903', 0.12111728830913102)]
00088;[(1, '614', 0.4547320919821991), (2, '761', 0.3100751745843525), (3, '62', 0.1377424760690247), (4, '111', 0.12892070296655989), (5, '427', 0.11567453866862369), (6, '590', 0.11448002075499429), (7, '588', 0.11093902395310443), (8, '1170', 0.11088099993614627), (9, '790', 0.11019272700746648), (10, '160', 0.10896450781905737), (11, '487', 0.1071982207932271), (12, '1091', 0.10292201287215745)]
00089;[(1, '469', 0.2667129588156901), (2, '479', 0.19676974223521104), (3, '778', 0.1921397389136518), (4, '912', 0.1852914516448542), (5, '905', 0.1480642155914628), (6, '216', 0.14790236072194674), (7, '760', 0.1429221786785486), (8, '845', 0.1411780726495153), (9, '282', 0.13682301926077575), (10, '178', 0.13543401129709562), (11, '99', 0.13266532708040477), (12, '588', 0.12944066508518254), (13, '432', 0.12885980997936305), (14, '1091', 0.12765450179235585), (15, '8', 0.12610315127539415), (16, '590', 0.1252905172792486), (17, '447', 0.12459586522399052), (18, '890', 0.12190182816010824), (19, '460', 0.12134389624564057), (20, '800', 0.11727745797361998), (21, '79', 0.11498321342815271), (22, '790', 0.11460375740921334), (23, '1', 0.11424014068256877), (24, '159', 0.1132717716637993), (25, '1083', 0.11323534348392804), (26, '1065', 0.11142590606834395), (27, '987', 0.1104997136240217), (28, '81', 0.10805656628323895), (29, '260', 0.10086130935528512)]
